Date,Open,High,Low,Close,Adj Close,Volume
28-Dec-22,0.672993,0.6801,0.672011,0.672993,0.672993,0
29-Dec-22,0.67471,0.6779,0.67113,0.67471,0.67471,0
30-Dec-22,0.6766,0.68084,0.67569,0.6766,0.6766,0
02-Jan-23,0.68231,0.68434,0.67939,0.68231,0.68231,0
03-Jan-23,0.68056,0.68362,0.668919,0.68056,0.68056,0
04-Jan-23,0.6728,0.68913,0.672558,0.6728,0.6728,0
05-Jan-23,0.682911,0.684603,0.67368,0.682911,0.682911,0
06-Jan-23,0.67557,0.687,0.67226,0.67557,0.67557,0
09-Jan-23,0.689398,0.69512,0.688558,0.689398,0.689398,0
10-Jan-23,0.69097,0.6928,0.68605,0.69097,0.69097,0
11-Jan-23,0.6895,0.692521,0.68745,0.6895,0.6895,0
12-Jan-23,0.6911,0.69818,0.68887,0.6911,0.6911,0
13-Jan-23,0.696782,0.6994,0.691692,0.696782,0.696782,0
16-Jan-23,0.69735,0.702,0.69426,0.69735,0.69735,0
17-Jan-23,0.69664,0.69934,0.69313,0.69664,0.69664,0
18-Jan-23,0.698841,0.70599,0.69741,0.698841,0.698841,0
19-Jan-23,0.6944,0.695,0.687229,0.6944,0.6944,0
20-Jan-23,0.6914,0.696442,0.69067,0.6914,0.6914,0
23-Jan-23,0.698402,0.703938,0.69629,0.69827,0.69827,0
24-Jan-23,0.702928,0.7056,0.69982,0.702928,0.702928,0
25-Jan-23,0.704672,0.71221,0.703918,0.704672,0.704672,0
26-Jan-23,0.71082,0.71401,0.7082,0.71082,0.71082,0
27-Jan-23,0.71139,0.713114,0.708491,0.71139,0.71139,0
30-Jan-23,0.710798,0.712099,0.70672,0.710798,0.710798,0
31-Jan-23,0.70581,0.706309,0.69855,0.70581,0.70581,0
01-Feb-23,0.70514,0.7092,0.70372,0.70514,0.70514,0
02-Feb-23,0.7145,0.71561,0.70719,0.7145,0.7145,0
03-Feb-23,0.707469,0.7074,0.693342,0.707469,0.707469,0
06-Feb-23,0.69208,0.694879,0.68566,0.69208,0.69208,0
07-Feb-23,0.68878,0.69506,0.68871,0.68878,0.68878,0
08-Feb-23,0.69646,0.69951,0.69274,0.69646,0.69646,0
09-Feb-23,0.693,0.701061,0.69228,0.693,0.693,0
10-Feb-23,0.693938,0.69599,0.691228,0.693938,0.693938,0
13-Feb-23,0.691348,0.69677,0.68918,0.691348,0.691348,0
14-Feb-23,0.697,0.702701,0.69234,0.697,0.697,0
15-Feb-23,0.698758,0.698519,0.68657,0.698758,0.698758,0
16-Feb-23,0.69069,0.69352,0.68461,0.69069,0.69069,0
17-Feb-23,0.68624,0.68738,0.681231,0.68624,0.68624,0
20-Feb-23,0.686941,0.6922,0.686389,0.686941,0.686941,0
21-Feb-23,0.6909,0.691812,0.68588,0.6909,0.6909,0
22-Feb-23,0.68619,0.686422,0.6809,0.68619,0.68619,0
23-Feb-23,0.681292,0.68417,0.67852,0.681292,0.681292,0
24-Feb-23,0.681013,0.682594,0.67197,0.681013,0.681013,0
27-Feb-23,0.673568,0.6744,0.66988,0.673568,0.673568,0
28-Feb-23,0.6743,0.676,0.67061,0.6743,0.6743,0
01-Mar-23,0.673079,0.678398,0.66959,0.673079,0.673079,0
02-Mar-23,0.67598,0.67659,0.67083,0.67598,0.67598,0
03-Mar-23,0.6735,0.67659,0.672988,0.6735,0.6735,0
06-Mar-23,0.675461,0.6771,0.67172,0.675461,0.675461,0
07-Mar-23,0.67331,0.6749,0.65956,0.67331,0.67331,0
08-Mar-23,0.6591,0.66286,0.656909,0.6591,0.6591,0
09-Mar-23,0.6594,0.663508,0.657748,0.6594,0.6594,0
10-Mar-23,0.6591,0.663861,0.65668,0.6591,0.6591,0
13-Mar-23,0.66342,0.671601,0.660271,0.66342,0.66342,0
14-Mar-23,0.66592,0.66947,0.66333,0.66592,0.66592,0
15-Mar-23,0.66891,0.671186,0.66012,0.66891,0.66891,0
16-Mar-23,0.66183,0.666529,0.66155,0.66183,0.66183,0
17-Mar-23,0.66634,0.67233,0.665602,0.66634,0.66634,0
20-Mar-23,0.671321,0.6732,0.6667,0.671321,0.671321,0
21-Mar-23,0.67169,0.67255,0.66504,0.67169,0.67169,0
22-Mar-23,0.66779,0.670219,0.66625,0.66779,0.66779,0
23-Mar-23,0.669931,0.67556,0.66918,0.669931,0.669931,0
24-Mar-23,0.66816,0.6695,0.662629,0.66816,0.66816,0
27-Mar-23,0.665531,0.66652,0.66351,0.665531,0.665531,0
28-Mar-23,0.66601,0.671096,0.665549,0.66601,0.66601,0
29-Mar-23,0.670691,0.67129,0.66622,0.670691,0.670691,0
30-Mar-23,0.668248,0.67172,0.66623,0.668248,0.668248,0
31-Mar-23,0.671682,0.673818,0.667169,0.671682,0.671682,0
03-Apr-23,0.66589,0.6788,0.665389,0.66589,0.66589,0
04-Apr-23,0.67885,0.67934,0.672269,0.67885,0.67885,0
05-Apr-23,0.675808,0.6776,0.66782,0.675808,0.675808,0
06-Apr-23,0.671668,0.671948,0.665411,0.671668,0.671668,0
07-Apr-23,0.667601,0.669299,0.664461,0.667601,0.667601,0
10-Apr-23,0.66735,0.66803,0.66202,0.66735,0.66735,0
11-Apr-23,0.66483,0.668003,0.66453,0.66483,0.66483,0
12-Apr-23,0.6654,0.67218,0.66515,0.6654,0.6654,0
13-Apr-23,0.6699,0.678104,0.66858,0.6699,0.6699,0
14-Apr-23,0.6784,0.6794,0.66971,0.6784,0.6784,0
17-Apr-23,0.67052,0.671889,0.66819,0.67052,0.67052,0
18-Apr-23,0.67004,0.674641,0.669801,0.67004,0.67004,0
19-Apr-23,0.67357,0.6741,0.669129,0.67357,0.67357,0
20-Apr-23,0.670551,0.67698,0.66981,0.670551,0.670551,0
